date(dates.date),DAU_Male,DAU_Female
2018-01-01,0,0
2018-01-02,1,4
2018-01-03,0,4
2018-01-04,2,2
2018-01-05,2,2
2018-01-06,0,0
2018-01-07,0,0
2018-01-08,0,0
2018-01-09,1,3
2018-01-10,0,2
2018-01-11,0,0
2018-01-12,0,0
2018-01-13,0,0
2018-01-14,0,0
2018-01-15,0,0
2018-01-16,2,0
2018-01-17,0,0
2018-01-18,0,0
2018-01-19,1,0
2018-01-20,0,0
2018-01-21,0,0
2018-01-22,0,0
2018-01-23,6,4
2018-01-24,6,4
2018-01-25,6,4
2018-01-26,3,8
2018-01-27,0,0
2018-01-28,0,0
2018-01-29,0,0
2018-01-30,4,3
2018-01-31,2,3
2018-02-01,3,4
2018-02-02,0,0
2018-02-03,0,0
2018-02-04,0,0
2018-02-05,0,0
2018-02-06,3,6
2018-02-07,1,3
2018-02-08,0,1
2018-02-09,1,0
2018-02-10,2,0
2018-02-11,3,0
2018-02-12,1,3
2018-02-13,12,9
2018-02-14,11,13
2018-02-15,9,12
2018-02-16,5,5
2018-02-17,4,2
2018-02-18,2,0
2018-02-19,0,1
2018-02-20,0,0
2018-02-21,4,5
2018-02-22,4,4
2018-02-23,5,2
2018-02-24,2,2
2018-02-25,2,1
2018-02-26,0,2
2018-02-27,7,12
2018-02-28,7,11
2018-03-01,7,11
2018-03-02,11,13
2018-03-03,4,10
2018-03-04,3,0
2018-03-05,2,1
2018-03-06,10,4
2018-03-07,12,9
2018-03-08,4,4
2018-03-09,4,2
2018-03-10,0,0
2018-03-11,1,3
2018-03-12,1,1
2018-03-13,14,12
2018-03-14,13,15
2018-03-15,17,11
2018-03-16,7,10
2018-03-17,5,2
2018-03-18,1,1
2018-03-19,4,4
2018-03-20,3,6
2018-03-21,6,5
2018-03-22,3,5
2018-03-23,5,4
2018-03-24,1,0
2018-03-25,2,1
2018-03-26,4,0
2018-03-27,28,25
2018-03-28,25,21
2018-03-29,10,10
2018-03-30,6,8
2018-03-31,3,6
2018-04-01,4,3
2018-04-02,1,4
2018-04-03,5,4
2018-04-04,7,9
2018-04-05,11,15
2018-04-06,10,1
2018-04-07,1,3
2018-04-08,2,5
2018-04-09,1,4
2018-04-10,20,27
2018-04-11,23,35
2018-04-12,19,15
2018-04-13,8,11
2018-04-14,7,3
2018-04-15,3,4
2018-04-16,10,6
2018-04-17,19,24
2018-04-18,22,15
2018-04-19,9,15
2018-04-20,7,5
2018-04-21,9,4
2018-04-22,4,7
2018-04-23,3,7
2018-04-24,8,3
2018-04-25,4,9
2018-04-26,4,9
2018-04-27,7,8
2018-04-28,7,7
2018-04-29,6,2
2018-04-30,3,1
2018-05-01,23,19
2018-05-02,24,27
2018-05-03,10,12
2018-05-04,8,9
2018-05-05,6,6
2018-05-06,5,9
2018-05-07,3,8
2018-05-08,6,3
2018-05-09,10,8
2018-05-10,6,8
2018-05-11,8,5
2018-05-12,1,3
2018-05-13,4,4
2018-05-14,3,1
2018-05-15,11,8
2018-05-16,4,9
2018-05-17,11,10
2018-05-18,5,4
2018-05-19,4,2
2018-05-20,2,4
2018-05-21,2,8
2018-05-22,6,19
2018-05-23,5,5
2018-05-24,2,3
2018-05-25,3,1
2018-05-26,1,6
2018-05-27,2,2
2018-05-28,3,1
2018-05-29,43,33
2018-05-30,8,7
2018-05-31,7,6
2018-06-01,5,1
2018-06-02,2,5
2018-06-03,1,4
2018-06-04,2,0
2018-06-05,7,4
2018-06-06,5,9
2018-06-07,11,8
2018-06-08,11,6
2018-06-09,5,8
2018-06-10,0,3
2018-06-11,2,4
2018-06-12,9,9
2018-06-13,7,10
2018-06-14,10,14
2018-06-15,7,9
2018-06-16,6,3
2018-06-17,3,4
2018-06-18,6,7
2018-06-19,7,4
2018-06-20,6,11
2018-06-21,5,3
2018-06-22,5,5
2018-06-23,3,3
2018-06-24,4,4
2018-06-25,3,1
2018-06-26,7,6
2018-06-27,6,10
2018-06-28,7,8
2018-06-29,5,2
2018-06-30,1,1
2018-07-01,2,7
2018-07-02,0,2
2018-07-03,3,12
2018-07-04,1,4
2018-07-05,2,2
2018-07-06,1,3
2018-07-07,1,2
2018-07-08,1,2
2018-07-09,0,1
2018-07-10,8,4
2018-07-11,8,7
2018-07-12,6,1
2018-07-13,1,2
2018-07-14,0,1
2018-07-15,2,0
2018-07-16,2,2
2018-07-17,1,2
2018-07-18,1,1
2018-07-19,0,1
2018-07-20,0,2
2018-07-21,1,1
2018-07-22,0,1
2018-07-23,1,0
2018-07-24,1,3
2018-07-25,1,0
2018-07-26,0,2
2018-07-27,0,1
2018-07-28,0,0
2018-07-29,1,1
2018-07-30,2,3
2018-07-31,1,0
2018-08-01,0,1
2018-08-02,2,2
2018-08-03,1,1
2018-08-04,2,2
2018-08-05,0,1
2018-08-06,0,2
2018-08-07,0,1
2018-08-08,0,1
2018-08-09,0,0
2018-08-10,2,1
2018-08-11,3,2
2018-08-12,0,1
2018-08-13,3,0
2018-08-14,1,1
2018-08-15,0,1
2018-08-16,1,1
2018-08-17,1,0
2018-08-18,1,1
2018-08-19,1,4
2018-08-20,3,2
2018-08-21,1,0
2018-08-22,1,4
2018-08-23,4,1
2018-08-24,3,3
2018-08-25,2,2
2018-08-26,2,1
2018-08-27,2,1
2018-08-28,3,0
2018-08-29,3,5
2018-08-30,3,3
2018-08-31,2,1
2018-09-01,2,1
2018-09-02,3,3
2018-09-03,2,3
2018-09-04,2,3
2018-09-05,1,5
2018-09-06,1,4
2018-09-07,3,1
2018-09-08,2,1
2018-09-09,3,2
2018-09-10,2,0
2018-09-11,2,2
2018-09-12,5,2
2018-09-13,1,0
2018-09-14,0,5
2018-09-15,3,3
2018-09-16,1,2
2018-09-17,2,2
2018-09-18,1,1
2018-09-19,1,3
2018-09-20,3,4
2018-09-21,5,2
2018-09-22,3,0
2018-09-23,2,1
2018-09-24,4,3
2018-09-25,8,2
2018-09-26,3,3
2018-09-27,5,3
2018-09-28,2,1
2018-09-29,0,1
2018-09-30,2,5
2018-10-01,5,4
2018-10-02,4,1
2018-10-03,1,1
2018-10-04,1,1
2018-10-05,2,3
2018-10-06,4,2
2018-10-07,3,3
2018-10-08,4,6
2018-10-09,3,3
2018-10-10,1,7
2018-10-11,4,3
2018-10-12,1,2
2018-10-13,3,1
2018-10-14,4,4
2018-10-15,3,2
2018-10-16,5,3
2018-10-17,5,3
2018-10-18,3,4
2018-10-19,2,2
2018-10-20,4,0
2018-10-21,1,5
2018-10-22,4,1
2018-10-23,1,0
2018-10-24,3,4
2018-10-25,8,10
2018-10-26,5,4
2018-10-27,6,8
2018-10-28,8,3
2018-10-29,4,6
2018-10-30,4,4
2018-10-31,7,7
2018-11-01,9,7
2018-11-02,15,5
2018-11-03,13,13
2018-11-04,9,8
2018-11-05,15,19
2018-11-06,16,13
2018-11-07,54,53
2018-11-08,3,0
2018-11-09,2,2
2018-11-10,1,3
2018-11-11,0,2
2018-11-12,3,5
2018-11-13,1,2
2018-11-14,3,3
2018-11-15,4,11
2018-11-16,4,6
2018-11-17,8,6
2018-11-18,4,4
2018-11-19,9,3
2018-11-20,4,3
2018-11-21,3,6
2018-11-22,3,7
2018-11-23,5,11
2018-11-24,3,9
2018-11-25,6,3
2018-11-26,10,10
2018-11-27,12,9
2018-11-28,4,10
2018-11-29,5,10
2018-11-30,9,5
2018-12-01,10,6
2018-12-02,13,6
2018-12-03,6,6
2018-12-04,12,9
2018-12-05,9,11
2018-12-06,10,12
2018-12-07,9,7
2018-12-08,6,9
2018-12-09,7,11
2018-12-10,12,10
2018-12-11,8,10
2018-12-12,11,13
2018-12-13,13,10
2018-12-14,11,8
2018-12-15,11,9
2018-12-16,15,15
2018-12-17,10,12
2018-12-18,13,10
2018-12-19,20,11
2018-12-20,13,10
2018-12-21,11,12
2018-12-22,13,15
2018-12-23,23,27
2018-12-24,17,11
2018-12-25,14,15
2018-12-26,18,26
2018-12-27,26,20
2018-12-28,30,18
2018-12-29,33,12
2018-12-30,15,24
2018-12-31,113,84
